timestamp,well_id,oil_rate_bbl_d,gas_rate_mmscf_d,tubing_pressure_psi,temperature_c,vibration_mm_s,water_cut_pct,choke_size_64ths,status
2026-08-31 13:00:00,Well-12A,921.2,0.911,1866.7,78.7,2.281,18.61,32,Online
2026-08-31 14:00:00,Well-12A,920.8,1.097,1865.3,78.7,2.168,18.44,36,Online
2026-08-31 15:00:00,Well-12A,922.4,0.972,1866.9,77.8,2.34,18.13,32,Online
2026-08-31 16:00:00,Well-12A,926.1,0.788,1864.5,78.3,2.093,18.24,24,Online
2026-08-31 17:00:00,Well-12A,925.5,0.991,1861.2,78.1,2.507,18.08,40,Online
2026-08-31 18:00:00,Well-12A,924.9,0.86,1862.0,80.5,2.202,18.05,24,Online
2026-08-31 19:00:00,Well-12A,928.7,0.998,1862.9,79.8,2.432,17.91,32,Online
2026-08-31 20:00:00,Well-12A,930.6,0.77,1860.8,80.1,2.094,17.69,32,Online
2026-08-31 21:00:00,Well-12A,929.4,0.809,1858.8,79.6,2.193,17.76,40,Restricted
2026-08-31 22:00:00,Well-12A,930.7,1.063,1859.7,78.0,2.156,17.85,40,Online
2026-08-31 23:00:00,Well-12A,929.4,0.828,1853.8,78.6,2.12,17.78,28,Online
2026-09-01 00:00:00,Well-12A,928.2,1.053,1848.1,79.4,2.143,17.47,40,Online
2026-09-01 01:00:00,Well-12A,928.8,0.847,1845.1,78.0,2.165,17.4,32,Online
2026-09-01 02:00:00,Well-12A,923.9,0.977,1844.2,79.6,2.176,17.45,28,Online
2026-09-01 03:00:00,Well-12A,919.6,0.991,1845.3,78.8,2.055,17.27,40,Online
2026-09-01 04:00:00,Well-12A,918.1,0.923,1851.1,78.7,2.521,17.3,28,Online
2026-09-01 05:00:00,Well-12A,915.5,0.844,1854.5,79.6,2.43,17.29,32,Online
2026-09-01 06:00:00,Well-12A,916.2,0.811,1853.8,79.4,2.146,17.36,24,Online
2026-09-01 07:00:00,Well-12A,913.9,0.743,1853.6,78.7,2.058,17.38,32,Restricted
2026-09-01 08:00:00,Well-12A,910.3,0.839,1849.5,80.0,2.076,17.26,28,Online
2026-09-01 09:00:00,Well-12A,913.9,0.97,1849.3,78.1,2.185,17.4,32,Online
2026-09-01 10:00:00,Well-12A,913.3,1.073,1848.1,79.5,2.275,17.39,24,Online
2026-09-01 11:00:00,Well-12A,913.4,1.049,1849.3,79.5,2.107,17.38,40,Online
2026-09-01 12:00:00,Well-12A,909.8,1.007,1845.9,78.7,2.417,17.27,40,Online
2026-09-01 13:00:00,Well-12A,908.3,1.013,1847.9,79.3,2.138,17.22,24,Online
2026-09-01 14:00:00,Well-12A,908.6,0.969,1853.9,77.9,2.192,17.11,36,Online
2026-09-01 15:00:00,Well-12A,905.6,0.819,1853.4,79.8,2.156,17.09,24,Online
2026-09-01 16:00:00,Well-12A,906.5,1.054,1854.9,78.8,2.396,17.3,36,Online
2026-09-01 17:00:00,Well-12A,904.9,0.967,1857.6,78.6,2.32,17.13,32,Online
2026-09-01 18:00:00,Well-12A,904.2,0.926,1855.9,79.9,2.372,16.94,32,Online
2026-09-01 19:00:00,Well-12A,902.6,0.762,1856.7,78.4,2.099,17.11,40,Online
2026-09-01 20:00:00,Well-12A,907.2,0.888,1856.7,77.8,2.28,17.09,28,Online
2026-09-01 21:00:00,Well-12A,907.1,0.893,1857.0,77.7,2.42,17.01,32,Online
2026-09-01 22:00:00,Well-12A,904.4,1.036,1853.8,79.5,2.151,17.13,28,Online
2026-09-01 23:00:00,Well-12A,906.4,0.923,1853.8,77.9,2.287,17.06,28,Online
2026-09-02 00:00:00,Well-12A,903.3,0.86,1855.7,80.5,2.058,17.28,36,Online
2026-09-02 01:00:00,Well-12A,903.7,1.076,1861.4,77.2,2.088,17.36,28,Online
2026-09-02 02:00:00,Well-12A,898.8,0.759,1865.1,80.4,2.244,17.3,36,Online
2026-09-02 03:00:00,Well-12A,895.4,0.868,1873.7,79.2,2.194,17.56,32,Online
2026-09-02 04:00:00,Well-12A,895.8,0.732,1870.5,78.9,2.397,17.49,32,Online
2026-09-02 05:00:00,Well-12A,897.6,0.984,1873.9,78.5,2.375,17.58,40,Online
2026-09-02 06:00:00,Well-12A,898.0,1.048,1874.6,79.3,2.354,17.61,24,Online
2026-09-02 07:00:00,Well-12A,897.6,0.819,1883.2,79.0,2.188,17.77,40,Online
2026-09-02 08:00:00,Well-12A,896.8,1.025,1879.9,79.9,2.137,17.96,32,Online
2026-09-02 09:00:00,Well-12A,893.0,0.819,1876.5,79.1,2.159,17.96,24,Online
2026-09-02 10:00:00,Well-12A,891.2,1.038,1874.0,79.1,2.107,17.87,24,Online
2026-09-02 11:00:00,Well-12A,890.0,0.98,1865.4,78.7,2.171,17.93,28,Online
2026-09-02 12:00:00,Well-12A,892.6,1.001,1863.2,79.0,2.198,17.84,36,Online
2026-09-02 13:00:00,Well-12A,893.4,0.721,1860.1,79.3,2.056,18.09,28,Online
2026-09-02 14:00:00,Well-12A,888.9,1.053,1860.6,77.5,2.308,18.1,36,Online
2026-09-02 15:00:00,Well-12A,889.6,0.97,1861.8,77.9,2.17,18.06,40,Online
2026-09-02 16:00:00,Well-12A,888.6,0.819,1869.3,79.6,2.132,18.08,36,Online
2026-09-02 17:00:00,Well-12A,886.9,1.004,1873.0,79.1,2.22,17.92,28,Online
2026-09-02 18:00:00,Well-12A,888.3,0.811,1870.6,78.8,2.677,17.8,28,Online
2026-09-02 19:00:00,Well-12A,890.9,1.024,1866.9,79.0,2.303,17.95,28,Online
2026-09-02 20:00:00,Well-12A,893.1,0.755,1868.8,79.3,2.433,17.87,24,Online
2026-09-02 21:00:00,Well-12A,891.0,0.964,1863.4,78.5,2.13,17.74,24,Online
2026-09-02 22:00:00,Well-12A,890.1,0.905,1870.6,78.3,2.296,17.81,28,Online
2026-09-02 23:00:00,Well-12A,890.9,0.747,1875.3,79.2,2.335,17.95,28,Online
2026-09-03 00:00:00,Well-12A,893.3,0.801,1873.3,78.2,2.305,18.04,24,Online
2026-09-03 01:00:00,Well-12A,892.0,0.718,1866.4,79.3,2.153,18.15,28,Online
